wanikani	word	reading	sense 1	sense 2	sense 3	url
5	言う	いう	to say, to utter, to declare	to name, to call	to go (e.g. "the alarm went ping"), to make a noise	http://jisho.org/word/%E8%A8%80%E3%81%86
6	午後	ごご	afternoon, p.m.			http://jisho.org/word/%E5%8D%88%E5%BE%8C
6	出来る	できる	to be able (in a position) to do, to be up to the task	to be ready, to be completed	to be made, to be built	http://jisho.org/word/%E5%87%BA%E6%9D%A5%E3%82%8B
6	姉	あね	older sister, elder sister	Ane		http://jisho.org/word/%E5%A7%89
6	地図	ちず	map	Map		http://jisho.org/word/%E5%9C%B0%E5%9B%B3
6	後ろ	うしろ	back, behind, rear			http://jisho.org/word/%E5%BE%8C%E3%82%8D
6	お姉さん	おねえさん	elder sister	(vocative) young lady	miss (referring to a waitress, etc.)	http://jisho.org/word/%E3%81%8A%E5%A7%89%E3%81%95%E3%82%93
6	今年	ことし	this year			http://jisho.org/word/%E4%BB%8A%E5%B9%B4
6	次	つぎ	next, following, subsequent	stage, station		http://jisho.org/word/%E6%AC%A1
6	お茶	おちゃ	tea (usu. green)	tea break (at work)	tea ceremony	http://jisho.org/word/%E3%81%8A%E8%8C%B6
6	夜	よる	evening, night	Night		http://jisho.org/word/%E5%A4%9C
6	安い	やすい	cheap, inexpensive	calm, peaceful, quiet		http://jisho.org/word/%E5%AE%89%E3%81%84
6	死ぬ	しぬ	to die, to pass away	to lose spirit, to lose vigor, to look dead	to cease, to stop	http://jisho.org/word/%E6%AD%BB%E3%81%AC
6	海	うみ	sea, ocean, waters	Sea		http://jisho.org/word/%E6%B5%B7
6	長い	ながい	long (distance)	long (time), lengthy		http://jisho.org/word/%E9%95%B7%E3%81%84
6	明るい	あかるい	bright, colourful	cheerful	familiar (with), knowledgeable (about)	http://jisho.org/word/%E6%98%8E%E3%82%8B%E3%81%84
6	国	くに	country, state	region	national government, central government	http://jisho.org/word/%E5%9B%BD
6	歩く	あるく	to walk			http://jisho.org/word/%E6%AD%A9%E3%81%8F
6	外国	がいこく	foreign country			http://jisho.org/word/%E5%A4%96%E5%9B%BD
6	知る	しる	to be aware of, to know, to be conscious of, to cognize, to cognise	to notice, to feel	to understand, to comprehend, to grasp	http://jisho.org/word/%E7%9F%A5%E3%82%8B
6	前	まえ	ago, before (some event), previously, (minutes) to (the hour)	in front (of), before (e.g. the house)	head (of a line), front (e.g. of a bus), fore part	http://jisho.org/word/%E5%89%8D
6	外国人	がいこくじん	foreigner, foreign citizen, foreign national, alien, non-Japanese	Alien (law)		http://jisho.org/word/%E5%A4%96%E5%9B%BD%E4%BA%BA
6	茶色	ちゃいろ	light brown, tawny	Brown		http://jisho.org/word/%E8%8C%B6%E8%89%B2
6	午前	ごぜん	morning, a.m.			http://jisho.org/word/%E5%8D%88%E5%89%8D
6	食べる	たべる	to eat	to live on (e.g. a salary), to live off, to subsist on		http://jisho.org/word/%E9%A3%9F%E3%81%B9%E3%82%8B
6	店	みせ	store, shop, establishment, restaurant			http://jisho.org/word/%E5%BA%97
6	南	みなみ	south	South		http://jisho.org/word/%E5%8D%97
6	妹	いもうと	younger sister			http://jisho.org/word/%E5%A6%B9
6	有る	ある	to be (usu. of inanimate objects), to exist, to live	to have	to be located	http://jisho.org/word/%E6%9C%89%E3%82%8B
6	有名	ゆうめい	famous	fame		http://jisho.org/word/%E6%9C%89%E5%90%8D
7	魚	さかな	fish			http://jisho.org/word/%E9%AD%9A
7	付ける	つける	to attach, to join, to add, to append, to affix, to stick, to glue, to fasten, to sew on, to apply (ointment)	to furnish (a house with)	to wear, to put on	http://jisho.org/word/%E4%BB%98%E3%81%91%E3%82%8B
7	先週	せんしゅう	last week, the week before			http://jisho.org/word/%E5%85%88%E9%80%B1
7	高い	たかい	high, tall	expensive		http://jisho.org/word/%E9%AB%98%E3%81%84
7	今週	こんしゅう	this week			http://jisho.org/word/%E4%BB%8A%E9%80%B1
7	夏	なつ	summer	Summer		http://jisho.org/word/%E5%A4%8F
7	辺	へん	area, vicinity, region	side, edge	circumstances	http://jisho.org/word/%E8%BE%BA
7	鳥	とり	bird	bird meat (esp. chicken meat), fowl, poultry		http://jisho.org/word/%E9%B3%A5
7	雪	ゆき	snow	Snow		http://jisho.org/word/%E9%9B%AA
7	夏休み	なつやすみ	summer vacation, summer holiday	Summer vacation		http://jisho.org/word/%E5%A4%8F%E4%BC%91%E3%81%BF
7	近く	ちかく	near, neighbourhood, neighborhood, vicinity	nearly (e.g. "it took nearly one year"), close to	shortly, soon	http://jisho.org/word/%E8%BF%91%E3%81%8F
7	風	かぜ	wind, breeze, draught, draft	manner, behaviour, behavior	cold, influenza	http://jisho.org/word/%E9%A2%A8
7	来週	らいしゅう	next week			http://jisho.org/word/%E6%9D%A5%E9%80%B1
7	黒い	くろい	black	dark	illicit, wicked, underground	http://jisho.org/word/%E9%BB%92%E3%81%84
7	学校	がっこう	school	Gakkou	School	http://jisho.org/word/%E5%AD%A6%E6%A0%A1
7	教える	おしえる	to teach, to instruct	to tell, to inform	to preach	http://jisho.org/word/%E6%95%99%E3%81%88%E3%82%8B
7	弱い	よわい	weak, frail, delicate, tender, unskilled, weak (wine)			http://jisho.org/word/%E5%BC%B1%E3%81%84
7	紙	かみ	paper	Paper		http://jisho.org/word/%E7%B4%99
7	未だ	まだ	as yet, hitherto, only, still	not yet (with negative verb)	more, besides	http://jisho.org/word/%E6%9C%AA%E3%81%A0
7	黄色	きいろ	yellow, amber	Yellow		http://jisho.org/word/%E9%BB%84%E8%89%B2
7	教室	きょうしつ	classroom	department, laboratory	single-room school, small school	http://jisho.org/word/%E6%95%99%E5%AE%A4
7	手紙	てがみ	letter	Letter (message)		http://jisho.org/word/%E6%89%8B%E7%B4%99
7	強い	つよい	strong, powerful, mighty, potent	resistant, resilient, durable		http://jisho.org/word/%E5%BC%B7%E3%81%84
8	楽しい	たのしい	enjoyable, fun			http://jisho.org/word/%E6%A5%BD%E3%81%97%E3%81%84
8	名前	なまえ	name, full name	given name, first name	Name	http://jisho.org/word/%E5%90%8D%E5%89%8D
8	番号	ばんごう	number, series of digits			http://jisho.org/word/%E7%95%AA%E5%8F%B7
8	電気	でんき	electricity	(electric) light	Electricity	http://jisho.org/word/%E9%9B%BB%E6%B0%97
8	電車	でんしゃ	train, electric train	Electric multiple unit		http://jisho.org/word/%E9%9B%BB%E8%BB%8A
8	所	ところ	place, spot, scene, site	address	district, area, locality	http://jisho.org/word/%E6%89%80
8	時間	じかん	time	hours (period of)	Time	http://jisho.org/word/%E6%99%82%E9%96%93
8	答える	こたえる	to answer, to reply			http://jisho.org/word/%E7%AD%94%E3%81%88%E3%82%8B
8	住む	すむ	to live (of humans), to reside, to inhabit, to dwell, to abide			http://jisho.org/word/%E4%BD%8F%E3%82%80
8	道	みち	road, street, way, path, course, route, lane	distance, ways (e.g. "a long ways")	the way (of proper conduct, etc.), one's way, morals	http://jisho.org/word/%E9%81%93
8	毎朝	まいあさ	every morning			http://jisho.org/word/%E6%AF%8E%E6%9C%9D
8	明日	あした	tomorrow	near future		http://jisho.org/word/%E6%98%8E%E6%97%A5
8	話す	はなす	to talk, to speak, to converse, to chat	to tell, to explain, to narrate, to mention, to describe, to discuss	to speak (a language)	http://jisho.org/word/%E8%A9%B1%E3%81%99
8	音楽	おんがく	music, musical movement	Music		http://jisho.org/word/%E9%9F%B3%E6%A5%BD
8	電話	でんわ	telephone call, phone call	telephone (device), phone	Telephony	http://jisho.org/word/%E9%9B%BB%E8%A9%B1
8	向こう	むこう	opposite side, other side, opposite direction	over there, that way, far away, beyond	the other party, the other person	http://jisho.org/word/%E5%90%91%E3%81%93%E3%81%86
8	交番	こうばん	police box, small neighborhood police station	alternation, alternating (e.g. current)	Kōban	http://jisho.org/word/%E4%BA%A4%E7%95%AA
8	曲がる	まがる	to bend, to curve, to warp, to wind, to twist	to turn	to be awry, to be askew, to be crooked	http://jisho.org/word/%E6%9B%B2%E3%81%8C%E3%82%8B
8	医者	いしゃ	(medical) doctor, physician			http://jisho.org/word/%E5%8C%BB%E8%80%85
8	買う	かう	to buy, to purchase	to value, to have a high opinion	to stir, to provoke	http://jisho.org/word/%E8%B2%B7%E3%81%86
8	朝ご飯	あさごはん	breakfast			http://jisho.org/word/%E6%9C%9D%E3%81%94%E9%A3%AF
8	一番	いちばん	number one, first, first place	best, most	game, round, bout	http://jisho.org/word/%E4%B8%80%E7%95%AA
8	朝	あさ	morning	Morning		http://jisho.org/word/%E6%9C%9D
8	絵	え	picture, drawing, painting, sketch			http://jisho.org/word/%E7%B5%B5
9	新しい	あたらしい	new, novel, fresh, recent, latest, up-to-date, modern			http://jisho.org/word/%E6%96%B0%E3%81%97%E3%81%84
9	服	ふく	clothes (esp. Western clothes)	counter for doses of medicine, gulps of tea, drags of a cigarette, etc.		http://jisho.org/word/%E6%9C%8D
9	部屋	へや	room, chamber	apartment, flat, pad	stable	http://jisho.org/word/%E9%83%A8%E5%B1%8B
9	返す	かえす	to return (something), to restore, to put back	to turn over, to turn upside down, to overturn	to pay back, to retaliate, to reciprocate	http://jisho.org/word/%E8%BF%94%E3%81%99
9	泳ぐ	およぐ	to swim			http://jisho.org/word/%E6%B3%B3%E3%81%90
9	丁度	ちょうど	exactly, precisely, just, right	as if, as though, quite		http://jisho.org/word/%E4%B8%81%E5%BA%A6
9	重い	おもい	heavy, weighty, massive	heavy (feeling), depressed, gloomy, blue, uneasy	slow, sluggish, lumbering, ponderous, clumsy	http://jisho.org/word/%E9%87%8D%E3%81%84
9	要る	いる	to need, to want			http://jisho.org/word/%E8%A6%81%E3%82%8B
9	物	もの	thing, object, article, stuff, substance	one's things, possessions, property, belongings	things, something, anything, everything, nothing	http://jisho.org/word/%E7%89%A9
9	持つ	もつ	to hold (in one's hand), to take, to carry	to possess, to have, to own	to maintain, to keep	http://jisho.org/word/%E6%8C%81%E3%81%A4
9	乗る	のる	to get on (train, plane, bus, ship, etc.), to get in, to board, to take, to embark	to get on (e.g. a footstool), to step on, to jump on, to sit on, to mount	to reach, to go over, to pass	http://jisho.org/word/%E4%B9%97%E3%82%8B
9	食べ物	たべもの	food			http://jisho.org/word/%E9%A3%9F%E3%81%B9%E7%89%A9
9	使う	つかう	to use (a thing, method, etc.), to make use of, to put to use	to use (a person, animal, puppet, etc.), to employ, to handle, to manage, to manipulate	to use (time, money, etc.), to spend, to consume	http://jisho.org/word/%E4%BD%BF%E3%81%86
9	始まる	はじまる	to begin, to start, to commence	to happen (again), to begin (anew)	to date (from), to originate (in)	http://jisho.org/word/%E5%A7%8B%E3%81%BE%E3%82%8B
9	全部	ぜんぶ	all, entire, whole, altogether			http://jisho.org/word/%E5%85%A8%E9%83%A8
9	待つ	まつ	to wait	to await, to look forward to, to anticipate	to depend on, to need	http://jisho.org/word/%E5%BE%85%E3%81%A4
10	病気	びょうき	illness, disease, sickness	Disease		http://jisho.org/word/%E7%97%85%E6%B0%97
10	病院	びょういん	hospital	Hospital		http://jisho.org/word/%E7%97%85%E9%99%A2
10	頭	あたま	head	hair (on one's head)	mind, brains, intellect	http://jisho.org/word/%E9%A0%AD
10	漢字	かんじ	Chinese characters, kanji	Chinese characters		http://jisho.org/word/%E6%BC%A2%E5%AD%97
10	聞く	きく	to hear	to listen (e.g. to music)	to ask, to enquire, to query	http://jisho.org/word/%E8%81%9E%E3%81%8F
10	お酒	おさけ	alcohol, sake			http://jisho.org/word/%E3%81%8A%E9%85%92
10	台所	だいどころ	kitchen	financial situation	Kitchen	http://jisho.org/word/%E5%8F%B0%E6%89%80
10	開ける	あける	to open (a door, etc.), to unwrap (e.g. parcel, package), to unlock	to open (for business, etc.)	to empty, to remove, to make space, to make room	http://jisho.org/word/%E9%96%8B%E3%81%91%E3%82%8B
10	買い物	かいもの	shopping, purchased goods	Shopping		http://jisho.org/word/%E8%B2%B7%E3%81%84%E7%89%A9
10	横	よこ	horizontal (as opposed to vertical), lying down	side-to-side (as opposed to front-to-back), width, breadth	side (of a box, etc.)	http://jisho.org/word/%E6%A8%AA
10	習う	ならう	to take lessons in, to be taught, to learn (from a teacher), to study (under a teacher), to get training in			http://jisho.org/word/%E7%BF%92%E3%81%86
10	終わる	おわる	to finish, to end, to close			http://jisho.org/word/%E7%B5%82%E3%82%8F%E3%82%8B
10	飲む	のむ	to drink, to gulp, to swallow, to take (medicine)	to smoke (tobacco)	to engulf, to overwhelm	http://jisho.org/word/%E9%A3%B2%E3%82%80
10	歌	うた	song	classical Japanese poetry (esp. tanka)	modern poetry	http://jisho.org/word/%E6%AD%8C
10	新聞	しんぶん	newspaper	Newspaper		http://jisho.org/word/%E6%96%B0%E8%81%9E
10	話	はなし	talk, speech, chat, story, conversation	discussions, negotiation, argument		http://jisho.org/word/%E8%A9%B1
10	起きる	おきる	to get up, to rise, to blaze up (fire)	to wake up, to be awake, to stay awake	to occur (usu. of unfavourable incidents), to happen, to take place	http://jisho.org/word/%E8%B5%B7%E3%81%8D%E3%82%8B
10	今朝	けさ	this morning			http://jisho.org/word/%E4%BB%8A%E6%9C%9D
10	鳴く	なく	to sing (bird)	to bark, to purr, to make sound (animal)		http://jisho.org/word/%E9%B3%B4%E3%81%8F
10	軽い	かるい	light (i.e. not heavy), feeling light (i.e. offering little resistance, moving easily)	light (i.e. of foot), nimble, agile	non-serious, minor, unimportant, trivial	http://jisho.org/word/%E8%BB%BD%E3%81%84
10	読む	よむ	to read	to count	to guess, to predict, to read (someone's thoughts), to see (e.g. into someone's heart), to divine	http://jisho.org/word/%E8%AA%AD%E3%82%80
10	自転車	じてんしゃ	bicycle	Bicycle		http://jisho.org/word/%E8%87%AA%E8%BB%A2%E8%BB%8A
